Level,District Code,District Name,School Code,School Name,Content,Grade,Number of Total Records,Number of Valid Scores,Number of No Scores,Participation Rate 2025,Participation Rate 2024,Participation Rate 2023,Mean Scale Score,Standard Deviation,Number Did Not Yet Meet Expectations,Percent Did Not Yet Meet Expectations,Number Partially Met Expectations,Percent Partially Met Expectations,Number Approached Expectations,Percent Approached Expectations,Number Met Expectations,Percent Met Expectations,Number Exceeded Expectations,Percent Exceeded Expectations,Number Met or Exceeded Expectations,2025,2024,2023,"Change
2025-2024","Congressional
District"
DISTRICT,0070,Westminster Public Schools,0000,All Schools,Mathematics,06,     570,     559,      11,98.1,97.1,98.6,715,29,     183,32.7,     186,33.3,     122,21.8,      61,10.9,       7,1.3,      68,12.2,11.3,13.4,   0.9,8th Congressional District
DISTRICT,0070,Westminster Public Schools,0000,All Schools,Mathematics,07,     548,     521,      27,95.1,97.1,95.8,720,27,     119,22.8,     198,38.0,     128,24.6,      67,12.9,       9,1.7,      76,14.6,12.8,13.0,   1.8,8th Congressional District
DISTRICT,0070,Westminster Public Schools,0000,All Schools,Mathematics,08,     568,     525,      43,92.4,94.3,96.1,708,34,     240,45.7,     149,28.4,      65,12.4,      64,12.2,       7,1.3,      71,13.5,14.5,12.0,  -1.0,8th Congressional District
DISTRICT,0100,Alamosa RE-11J,0000,All Schools,English Language Arts,All Grades,     932,     910,      22,97.6,94.6,94.8,733,36,     176,19.3,     183,20.1,     245,26.9,     275,30.2,      31,3.4,     306,33.6,33.3,31.8,   0.3,3rd Congressional District
DISTRICT,0100,Alamosa RE-11J,0000,All Schools,English Language Arts,03,     156,     153,       3,98.1,91.4,97.2,729,42,      41,26.8,      27,17.6,      36,23.5,- -,- -,- -,- -,      49,32.0,35.9,24.7,  -3.9,3rd Congressional District
DISTRICT,0100,Alamosa RE-11J,0000,All Schools,English Language Arts,04,     139,     130,       9,93.5,96.6,96.5,730,31,      24,18.5,      29,22.3,      43,33.1,      28,21.5,       6,4.6,      34,26.2,35.3,38.8,  -9.1,3rd Congressional District
DISTRICT,0100,Alamosa RE-11J,0000,All Schools,English Language Arts,05,     174,     172,       2,98.9,96.6,94.1,739,35,      25,14.5,      29,16.9,      37,21.5,- -,- -,- -,- -,      81,47.1,37.9,39.6,   9.2,3rd Congressional District
DISTRICT,0100,Alamosa RE-11J,0000,All Schools,English Language Arts,06,     138,     138,       0,100.0,96.2,96.6,728,27,      25,18.1,      35,25.4,      50,36.2,- -,- -,- -,- -,      28,20.3,21.7,30.2,  -1.4,3rd Congressional District
DISTRICT,0100,Alamosa RE-11J,0000,All Schools,English Language Arts,07,     153,     150,       3,98.0,94.2,91.4,736,35,      27,18.0,      31,20.7,      38,25.3,      43,28.7,      11,7.3,      54,36.0,38.9,35.6,  -2.9,3rd Congressional District
DISTRICT,0100,Alamosa RE-11J,0000,All Schools,English Language Arts,08,     172,     167,       5,97.1,92.3,93.0,733,40,      34,20.4,      32,19.2,      41,24.6,      49,29.3,      11,6.6,      60,35.9,30.3,24.4,   5.6,3rd Congressional District
DISTRICT,0100,Alamosa RE-11J,0000,All Schools,Mathematics,All Grades,     942,     925,      17,98.2,95.3,94.9,723,30,     212,22.9,     291,31.5,     235,25.4,     178,19.2,       9,1.0,     187,20.2,19.7,18.4,   0.5,3rd Congressional District
DISTRICT,0100,Alamosa RE-11J,0000,All Schools,Mathematics,03,     157,     154,       3,98.1,93.6,97.2,734,33,      29,18.8,      33,21.4,      36,23.4,- -,- -,- -,- -,      56,36.4,32.8,26.0,   3.6,3rd Congressional District
DISTRICT,0100,Alamosa RE-11J,0000,All Schools,Mathematics,04,     139,     134,       5,96.4,97.8,96.5,722,27,      30,22.4,      48,35.8,      31,23.1,- -,- -,- -,- -,      25,18.7,24.0,24.5,  -5.3,3rd Congressional District
DISTRICT,0100,Alamosa RE-11J,0000,All Schools,Mathematics,05,     176,     174,       2,98.9,97.2,94.1,727,29,      33,19.0,      53,30.5,      42,24.1,- -,- -,- -,- -,      46,26.4,23.6,20.8,   2.8,3rd Congressional District
DISTRICT,0100,Alamosa RE-11J,0000,All Schools,Mathematics,06,     142,     142,       0,100.0,96.8,96.6,713,24,      45,31.7,      50,35.2,      39,27.5,- -,- -,- -,- -,       8,5.6,8.5,12.4,  -2.9,3rd Congressional District
DISTRICT,0100,Alamosa RE-11J,0000,All Schools,Mathematics,07,     155,     152,       3,98.1,94.2,92.0,724,23,      20,13.2,      61,40.1,      53,34.9,- -,- -,- -,- -,      18,11.8,14.8,14.7,  -3.0,3rd Congressional District
DISTRICT,0100,Alamosa RE-11J,0000,All Schools,Mathematics,08,     173,     169,       4,97.7,92.3,93.0,718,35,      55,32.5,      46,27.2,      34,20.1,- -,- -,- -,- -,      34,20.1,16.1,12.8,   4.0,3rd Congressional District
DISTRICT,0110,Sangre De Cristo Re-22J,0000,All Schools,English Language Arts,All Grades,     120,     117,       3,97.5,98.5,99.2,755,32,       6,5.1,      12,10.3,      27,23.1,      62,53.0,      10,8.5,      72,61.5,53.0,62.3,   8.5,3rd Congressional District
DISTRICT,0110,Sangre De Cristo Re-22J,0000,All Schools,English Language Arts,03,      16,< 16,- -,93.8,100.0,100.0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57.9,57.1,- -,3rd Congressional District
DISTRICT,0110,Sangre De Cristo Re-22J,0000,All Schools,English Language Arts,04,      19,      17,       2,89.5,100.0,100.0,764,33,- -,- -,- -,- -,- -,- -,       9,52.9,       3,17.6,      12,70.6,43.5,66.7,  27.1,3rd Congressional District
DISTRICT,0110,Sangre De Cristo Re-22J,0000,All Schools,English Language Arts,05,      21,      21,       0,100.0,100.0,100.0,753,35,- -,- -,- -,- -,       7,33.3,- -,- -,- -,- -,      11,52.4,59.1,- -,  -6.7,3rd Congressional District
DISTRICT,0110,Sangre De Cristo Re-22J,0000,All Schools,English Language Arts,06,      21,      21,       0,100.0,100.0,100.0,756,29,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,      15,71.4,26.9,59.3,  44.5,3rd Congressional District
DISTRICT,0110,Sangre De Cristo Re-22J,0000,All Schools,English Language Arts,07,      19,      19,       0,100.0,96.3,100.0,748,29,- -,- -,- -,- -,       3,15.8,- -,- -,- -,- -,- -,- -,53.8,- -,- -,3rd Congressional District
DISTRICT,0110,Sangre De Cristo Re-22J,0000,All Schools,English Language Arts,08,      24,      24,       0,100.0,94.7,96.4,757,32,- -,- -,- -,- -,       8,33.3,      10,41.7,       3,12.5,      13,54.2,88.9,70.4, -34.7,3rd Congressional District
DISTRICT,0110,Sangre De Cristo Re-22J,0000,All Schools,Mathematics,All Grades,     120,     117,       3,97.5,98.5,99.2,735,28,      12,10.3,      29,24.8,      39,33.3,      34,29.1,       3,2.6,      37,31.6,33.6,34.6,  -2.0,3rd Congressional District
DISTRICT,0110,Sangre De Cristo Re-22J,0000,All Schools,Mathematics,03,      16,< 16,- -,93.8,100.0,100.0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52.6,42.9,- -,3rd Congressional District
DISTRICT,0110,Sangre De Cristo Re-22J,0000,All Schools,Mathematics,04,      19,      17,       2,89.5,100.0,100.0,738,26,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,       7,41.2,30.4,33.3,  10.8,3rd Congressional District
DISTRICT,0110,Sangre De Cristo Re-22J,0000,All Schools,Mathematics,05,      21,      21,       0,100.0,100.0,100.0,736,28,- -,- -,- -,- -,       7,33.3,- -,- -,- -,- -,       6,28.6,54.5,- -, -25.9,3rd Congressional District
DISTRICT,0110,Sangre De Cristo Re-22J,0000,All Schools,Mathematics,06,      21,      21,       0,100.0,100.0,100.0,736,21,- -,- -,- -,- -,       9,42.9,- -,- -,- -,- -,       7,33.3,11.5,25.9,  21.8,3rd Congressional District
DISTRICT,0110,Sangre De Cristo Re-22J,0000,All Schools,Mathematics,07,      19,      19,       0,100.0,96.3,100.0,733,17,- -,- -,- -,- -,       8,42.1,- -,- -,- -,- -,- -,- -,26.9,- -,- -,3rd Congressional District
DISTRICT,0110,Sangre De Cristo Re-22J,0000,All Schools,Mathematics,08,      24,      24,       0,100.0,94.7,96.4,737,37,       3,12.5,       5,20.8,       6,25.0,- -,- -,- -,- -,      10,41.7,33.3,44.4,   8.4,3rd Congressional District
DISTRICT,0120,Englewood 1,0000,All Schools,English Language Arts,All Grades,     893,     843,      50,94.4,93.7,95.3,732,39,     197,23.4,     168,19.9,     195,23.1,     235,27.9,      48,5.7,     283,33.6,33.9,37.1,  -0.3,6th Congressional District
DISTRICT,0120,Englewood 1,0000,All Schools,English Language Arts,03,     174,     170,       4,97.7,94.2,96.4,723,47,      71,41.8,      15,8.8,      30,17.6,      49,28.8,       5,2.9,      54,31.8,33.3,26.7,  -1.5,6th Congressional District
DISTRICT,0120,Englewood 1,0000,All Schools,English Language Arts,04,     134,     127,       7,94.8,92.8,97.3,731,36,      28,22.0,      28,22.0,      34,26.8,      28,22.0,       9,7.1,      37,29.1,26.5,28.5,   2.6,6th Congressional District
DISTRICT,0120,Englewood 1,0000,All Schools,English Language Arts,05,     162,     152,      10,93.8,93.9,97.6,735,33,      18,11.8,      48,31.6,      39,25.7,      40,26.3,       7,4.6,      47,30.9,28.1,40.6,   2.8,6th Congressional District
DISTRICT,0120,Englewood 1,0000,All Schools,English Language Arts,06,     148,     143,       5,96.6,93.9,96.3,737,29,      19,13.3,      31,21.7,      41,28.7,      48,33.6,       4,2.8,      52,36.4,49.4,55.0, -13.0,6th Congressional District
DISTRICT,0120,Englewood 1,0000,All Schools,English Language Arts,07,     154,     138,      16,89.6,95.9,92.6,736,39,      28,20.3,      28,20.3,      31,22.5,      35,25.4,      16,11.6,      51,37.0,42.7,32.7,  -5.7,6th Congressional District
DISTRICT,0120,Englewood 1,0000,All Schools,English Language Arts,08,     121,     113,       8,93.4,91.6,90.3,729,42,      33,29.2,      18,15.9,      20,17.7,      35,31.0,       7,6.2,      42,37.2,21.1,41.2,  16.1,6th Congressional District
DISTRICT,0120,Englewood 1,0000,All Schools,Mathematics,All Grades,     906,     853,      53,94.2,93.5,95.9,726,33,     202,23.7,     217,25.4,     230,27.0,     182,21.3,      22,2.6,     204,23.9,22.4,22.8,   1.5,6th Congressional District
DISTRICT,0120,Englewood 1,0000,All Schools,Mathematics,03,     174,     170,       4,97.7,93.5,95.8,729,40,      50,29.4,      26,15.3,      37,21.8,      47,27.6,      10,5.9,      57,33.5,28.7,19.4,   4.8,6th Congressional District
DISTRICT,0120,Englewood 1,0000,All Schools,Mathematics,04,     136,     130,       6,95.6,91.1,97.3,726,30,      28,21.5,      34,26.2,      37,28.5,- -,- -,- -,- -,      31,23.8,14.9,13.8,   8.9,6th Congressional District
DISTRICT,0120,Englewood 1,0000,All Schools,Mathematics,05,     165,     152,      13,92.1,93.9,98.2,722,30,      33,21.7,      49,32.2,      43,28.3,- -,- -,- -,- -,      27,17.8,15.8,26.5,   2.0,6th Congressional District
DISTRICT,0120,Englewood 1,0000,All Schools,Mathematics,06,     151,     138,      13,91.4,94.5,98.5,724,30,      34,24.6,      32,23.2,      44,31.9,- -,- -,- -,- -,      28,20.3,32.3,30.3, -12.0,6th Congressional District
DISTRICT,0120,Englewood 1,0000,All Schools,Mathematics,07,     156,     146,      10,93.6,96.7,93.4,727,26,      20,13.7,      48,32.9,      49,33.6,- -,- -,- -,- -,      29,19.9,29.7,13.2,  -9.8,6th Congressional District
DISTRICT,0120,Englewood 1,0000,All Schools,Mathematics,08,     124,     117,       7,94.4,91.6,91.7,724,42,      37,31.6,      28,23.9,      20,17.1,      25,21.4,       7,6.0,      32,27.4,11.9,33.1,  15.5,6th Congressional District
DISTRICT,0123,Sheridan 2,0000,All Schools,English Language Arts,All Grades,     320,     309,      11,96.6,94.2,97.1,711,32,     113,36.6,     101,32.7,      63,20.4,      27,8.7,       5,1.6,      32,10.4,14.3,14.1,  -3.9,6th Congressional District
DISTRICT,0123,Sheridan 2,0000,All Schools,English Language Arts,03,      57,      55,       2,96.5,94.4,100.0,699,35,      29,52.7,      13,23.6,      10,18.2,- -,- -,- -,- -,       3,5.5,11.8,26.8,  -6.3,6th Congressional District
DISTRICT,0123,Sheridan 2,0000,All Schools,English Language Arts,04,      62,      62,       0,100.0,93.3,100.0,702,27,      30,48.4,      22,35.5,- -,- -,- -,- -,- -,- -,- -,- -,11.9,10.6,- -,6th Congressional District
DISTRICT,0123,Sheridan 2,0000,All Schools,English Language Arts,05,      46,      45,       1,97.8,97.7,98.5,722,31,       7,15.6,      19,42.2,      12,26.7,- -,- -,- -,- -,       7,15.6,19.0,12.1,  -3.4,6th Congressional District
DISTRICT,0123,Sheridan 2,0000,All Schools,English Language Arts,06,      34,      34,       0,100.0,94.3,93.4,718,25,       7,20.6,      13,38.2,- -,- -,- -,- -,- -,- -,- -,- -,24.2,8.8,- -,6th Congressional District
DISTRICT,0123,Sheridan 2,0000,All Schools,English Language Arts,07,      71,      68,       3,95.8,94.3,96.2,721,34,      18,26.5,      23,33.8,      15,22.1,- -,- -,- -,- -,      12,17.6,10.0,11.8,   7.6,6th Congressional District
DISTRICT,0123,Sheridan 2,0000,All Schools,English Language Arts,08,      50,      45,       5,90.0,92.5,96.4,706,31,      22,48.9,      11,24.4,       7,15.6,- -,- -,- -,- -,       5,11.1,9.5,17.3,   1.6,6th Congressional District
DISTRICT,0123,Sheridan 2,0000,All Schools,Spanish Language Arts,All Grades,       7,< 16,- -,85.7,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6th Congressional District
DISTRICT,0123,Sheridan 2,0000,All Schools,Spanish Language Arts,03,       5,< 16,- -,80.0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6th Congressional District
DISTRICT,0123,Sheridan 2,0000,All Schools,Spanish Language Arts,04,< 4,- -,- -,- -,N/A,N/A,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,N/A,N/A,- -,6th Congressional District
DISTRICT,0123,Sheridan 2,0000,All Schools,Mathematics,All Grades,     339,     327,      12,96.5,95.6,97.6,706,24,     138,42.2,     120,36.7,      53,16.2,- -,- -,- -,- -,      16,4.9,4.6,5.4,   0.3,6th Congressional District
DISTRICT,0123,Sheridan 2,0000,All Schools,Mathematics,03,      62,      58,       4,93.5,94.6,100.0,705,32,      28,48.3,      13,22.4,       9,15.5,- -,- -,- -,- -,       8,13.8,4.3,23.8,   9.5,6th Congressional District
DISTRICT,0123,Sheridan 2,0000,All Schools,Mathematics,04,      64,      64,       0,100.0,93.3,100.0,699,21,      34,53.1,      24,37.5,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6th Congressional District
DISTRICT,0123,Sheridan 2,0000,All Schools,Mathematics,05,      47,      46,       1,97.9,100.0,98.5,711,22,      14,30.4,      22,47.8,       6,13.0,- -,- -,- -,- -,       4,8.7,9.3,6.1,  -0.6,6th Congressional District
DISTRICT,0123,Sheridan 2,0000,All Schools,Mathematics,06,      38,      38,       0,100.0,98.6,95.1,708,20,      15,39.5,      14,36.8,- -,- -,- -,- -,- -,- -,- -,- -,5.8,- -,- -,6th Congressional District
DISTRICT,0123,Sheridan 2,0000,All Schools,Mathematics,07,      76,      73,       3,96.1,94.3,97.4,709,22,      26,35.6,      29,39.7,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6th Congressional District
DISTRICT,0123,Sheridan 2,0000,All Schools,Mathematics,08,      52,      48,       4,92.3,93.8,96.4,703,26,      21,43.8,      18,37.5,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6th Congressional District
DISTRICT,0130,Cherry Creek 5,0000,All Schools,English Language Arts,All Grades,"  22,317","  18,143","   4,174",81.3,77.4,74.7,746,39,"   2,477",13.7,"   2,827",15.6,"   4,092",22.6,"   6,776",37.3,"   1,971",10.9,"   8,747",48.2,48.3,49.7,  -0.1,6th Congressional District
