Level,District Code,District Name,School Code,School Name,Content,Grade,Number of Total Records,Number of Valid Scores,Number of No Scores,Participation Rate 2025,Participation Rate 2024,Participation Rate 2023,Mean Scale Score,Standard Deviation,Number Did Not Yet Meet Expectations,Percent Did Not Yet Meet Expectations,Number Partially Met Expectations,Percent Partially Met Expectations,Number Approached Expectations,Percent Approached Expectations,Number Met Expectations,Percent Met Expectations,Number Exceeded Expectations,Percent Exceeded Expectations,Number Met or Exceeded Expectations,2025,2024,2023,"Change
2025-2024","Congressional
District"
SCHOOL,0880,Denver County 1,5973,Manual Middle School,Mathematics,07,      83,      53,      30,63.9,80.3,90.5,722,27,       7,13.2,      24,45.3,      12,22.6,- -,- -,- -,- -,      10,18.9,- -,5.3,- -,1st Congressional District
SCHOOL,0880,Denver County 1,5973,Manual Middle School,Mathematics,08,      93,      45,      48,48.4,55.0,84.0,714,38,      18,40.0,      11,24.4,       8,17.8,- -,- -,- -,- -,       8,17.8,- -,11.8,- -,1st Congressional District
SCHOOL,0880,Denver County 1,6002,Montclair School of Academics and Enrichment,English Language Arts,All Grades,     157,     141,      16,89.8,81.9,92.4,719,36,      48,34.0,      26,18.4,      34,24.1,- -,- -,- -,- -,      33,23.4,28.2,36.1,  -4.8,1st Congressional District
SCHOOL,0880,Denver County 1,6002,Montclair School of Academics and Enrichment,English Language Arts,03,      44,      42,       2,95.5,79.2,85.7,705,35,      21,50.0,      10,23.8,       7,16.7,- -,- -,- -,- -,       4,9.5,28.9,26.2, -19.4,1st Congressional District
SCHOOL,0880,Denver County 1,6002,Montclair School of Academics and Enrichment,English Language Arts,04,      50,      47,       3,94.0,75.8,93.9,724,35,      13,27.7,       8,17.0,      13,27.7,- -,- -,- -,- -,      13,27.7,29.8,34.8,  -2.1,1st Congressional District
SCHOOL,0880,Denver County 1,6002,Montclair School of Academics and Enrichment,English Language Arts,05,      63,      52,      11,82.5,92.0,100.0,726,37,      14,26.9,       8,15.4,      14,26.9,- -,- -,- -,- -,      16,30.8,26.1,50.0,   4.7,1st Congressional District
SCHOOL,0880,Denver County 1,6002,Montclair School of Academics and Enrichment,Spanish Language Arts,All Grades,< 4,- -,- -,- -,N/A,N/A,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,N/A,N/A,- -,1st Congressional District
SCHOOL,0880,Denver County 1,6002,Montclair School of Academics and Enrichment,Spanish Language Arts,04,< 4,- -,- -,- -,N/A,N/A,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,N/A,N/A,- -,1st Congressional District
SCHOOL,0880,Denver County 1,6002,Montclair School of Academics and Enrichment,Mathematics,All Grades,     165,     149,      16,90.3,81.3,92.5,715,33,      54,36.2,      37,24.8,      32,21.5,- -,- -,- -,- -,      26,17.4,23.1,25.2,  -5.7,1st Congressional District
SCHOOL,0880,Denver County 1,6002,Montclair School of Academics and Enrichment,Mathematics,03,      45,      44,       1,97.8,79.2,86.0,709,36,      19,43.2,       9,20.5,      10,22.7,- -,- -,- -,- -,       6,13.6,36.8,23.3, -23.2,1st Congressional District
