District Code,District Name,Content,Grade,2025,2024,2023
0180,Adams-Arapahoe 28J,Mathematics,03,23.3,28.4,21.4
0180,Adams-Arapahoe 28J,Mathematics,04,27.6,19.8,19.8
0180,Adams-Arapahoe 28J,Mathematics,05,28.1,23.5,24.1
0180,Adams-Arapahoe 28J,English Language Arts,All Grades,19.8,21.7,19.7
0180,Adams-Arapahoe 28J,English Language Arts,03,19.2,18.1,15.3
0180,Adams-Arapahoe 28J,English Language Arts,04,15.2,27.1,24.1
0180,Adams-Arapahoe 28J,English Language Arts,05,25.7,20.3,19.4
0180,Adams-Arapahoe 28J,Mathematics,All Grades,17.3,15.7,15.3
0180,Adams-Arapahoe 28J,Mathematics,03,19.4,18.2,18.9
0180,Adams-Arapahoe 28J,Mathematics,04,12.8,18.3,11.4
0180,Adams-Arapahoe 28J,Mathematics,05,20.0,11.0,15.9
0180,Adams-Arapahoe 28J,English Language Arts,All Grades,11.4,12.7,9.1
0180,Adams-Arapahoe 28J,English Language Arts,03,6.1,19.3,6.3
0180,Adams-Arapahoe 28J,English Language Arts,04,12.0,6.0,6.6
0180,Adams-Arapahoe 28J,English Language Arts,05,11.6,10.4,14.0
0180,Adams-Arapahoe 28J,English Language Arts,06,5.0,N/A,N/A
0180,Adams-Arapahoe 28J,English Language Arts,07,25.8,N/A,N/A
0180,Adams-Arapahoe 28J,Spanish Language Arts,All Grades,- -,N/A,N/A
0180,Adams-Arapahoe 28J,Spanish Language Arts,03,- -,N/A,N/A
0180,Adams-Arapahoe 28J,Spanish Language Arts,04,- -,N/A,N/A
0180,Adams-Arapahoe 28J,Mathematics,All Grades,5.1,5.8,7.1
0180,Adams-Arapahoe 28J,Mathematics,03,4.7,8.9,9.9
0180,Adams-Arapahoe 28J,Mathematics,04,9.9,6.8,4.9
0180,Adams-Arapahoe 28J,Mathematics,05,- -,- -,6.4
0180,Adams-Arapahoe 28J,Mathematics,06,- -,N/A,N/A
0180,Adams-Arapahoe 28J,Mathematics,07,7.1,N/A,N/A
0180,Adams-Arapahoe 28J,English Language Arts,All Grades,10.5,11.2,12.5
0180,Adams-Arapahoe 28J,English Language Arts,03,14.1,7.3,6.1
0180,Adams-Arapahoe 28J,English Language Arts,04,9.2,11.1,17.7
0180,Adams-Arapahoe 28J,English Language Arts,05,8.4,15.0,11.6
0180,Adams-Arapahoe 28J,Spanish Language Arts,All Grades,- -,N/A,N/A
0180,Adams-Arapahoe 28J,Spanish Language Arts,04,- -,N/A,N/A
0180,Adams-Arapahoe 28J,Mathematics,All Grades,6.0,9.0,12.7
0180,Adams-Arapahoe 28J,Mathematics,03,5.4,5.6,8.3
0180,Adams-Arapahoe 28J,Mathematics,04,6.8,11.1,16.5
0180,Adams-Arapahoe 28J,Mathematics,05,5.7,10.8,12.3
0180,Adams-Arapahoe 28J,English Language Arts,All Grades,18.2,13.4,12.2
0180,Adams-Arapahoe 28J,English Language Arts,03,17.0,7.0,- -
0180,Adams-Arapahoe 28J,English Language Arts,04,13.6,- -,- -
0180,Adams-Arapahoe 28J,English Language Arts,05,13.1,- -,11.5
0180,Adams-Arapahoe 28J,English Language Arts,06,14.1,25.5,14.5
0180,Adams-Arapahoe 28J,English Language Arts,07,31.6,30.4,16.7
0180,Adams-Arapahoe 28J,English Language Arts,08,21.1,16.0,20.4
0180,Adams-Arapahoe 28J,Mathematics,All Grades,15.7,11.6,8.0
0180,Adams-Arapahoe 28J,Mathematics,03,19.2,14.0,- -
0180,Adams-Arapahoe 28J,Mathematics,04,15.3,- -,- -
0180,Adams-Arapahoe 28J,Mathematics,05,8.5,- -,11.5
0180,Adams-Arapahoe 28J,Mathematics,06,11.9,14.0,5.7
0180,Adams-Arapahoe 28J,Mathematics,07,19.7,18.0,7.1
0180,Adams-Arapahoe 28J,Mathematics,08,20.7,13.8,14.8
0180,Adams-Arapahoe 28J,English Language Arts,All Grades,19.8,22.1,21.5
0180,Adams-Arapahoe 28J,English Language Arts,03,11.1,10.9,12.5
0180,Adams-Arapahoe 28J,English Language Arts,04,- -,19.4,23.5
0180,Adams-Arapahoe 28J,English Language Arts,05,- -,15.4,18.4
0180,Adams-Arapahoe 28J,English Language Arts,06,26.2,32.6,21.1
0180,Adams-Arapahoe 28J,English Language Arts,07,41.2,35.1,27.5
0180,Adams-Arapahoe 28J,English Language Arts,08,20.0,20.5,27.6
0180,Adams-Arapahoe 28J,Mathematics,All Grades,9.8,8.4,8.2
0180,Adams-Arapahoe 28J,Mathematics,03,6.7,10.4,15.0
0180,Adams-Arapahoe 28J,Mathematics,04,- -,- -,- -
0180,Adams-Arapahoe 28J,Mathematics,05,- -,10.0,- -
0180,Adams-Arapahoe 28J,Mathematics,06,22.0,- -,10.5
0180,Adams-Arapahoe 28J,Mathematics,07,9.8,- -,7.5
0180,Adams-Arapahoe 28J,Mathematics,08,14.3,17.5,- -
0180,Adams-Arapahoe 28J,English Language Arts,All Grades,25.8,30.6,36.4
0180,Adams-Arapahoe 28J,English Language Arts,03,27.5,20.3,27.0
0180,Adams-Arapahoe 28J,English Language Arts,04,16.1,28.4,44.1
0180,Adams-Arapahoe 28J,English Language Arts,05,32.4,42.5,38.8
0180,Adams-Arapahoe 28J,Spanish Language Arts,All Grades,- -,N/A,N/A
0180,Adams-Arapahoe 28J,Spanish Language Arts,03,- -,N/A,N/A
0180,Adams-Arapahoe 28J,Mathematics,All Grades,24.3,22.6,30.8
0180,Adams-Arapahoe 28J,Mathematics,03,32.1,12.9,26.9
0180,Adams-Arapahoe 28J,Mathematics,04,4.8,26.0,32.4
0180,Adams-Arapahoe 28J,Mathematics,05,32.4,28.4,33.3
0180,Adams-Arapahoe 28J,English Language Arts,All Grades,8.5,12.1,15.5
0180,Adams-Arapahoe 28J,English Language Arts,03,10.0,12.3,8.0
0180,Adams-Arapahoe 28J,English Language Arts,04,6.4,6.0,17.0
0180,Adams-Arapahoe 28J,English Language Arts,05,9.4,18.0,19.7
0180,Adams-Arapahoe 28J,Spanish Language Arts,All Grades,- -,N/A,N/A
0180,Adams-Arapahoe 28J,Spanish Language Arts,03,- -,N/A,N/A
0180,Adams-Arapahoe 28J,Spanish Language Arts,04,- -,N/A,N/A
0180,Adams-Arapahoe 28J,Mathematics,All Grades,6.8,8.0,7.9
0180,Adams-Arapahoe 28J,Mathematics,03,7.1,10.5,- -
0180,Adams-Arapahoe 28J,Mathematics,04,6.0,- -,- -
0180,Adams-Arapahoe 28J,Mathematics,05,7.6,- -,11.3
0180,Adams-Arapahoe 28J,English Language Arts,All Grades,36.5,34.0,29.5
0180,Adams-Arapahoe 28J,English Language Arts,03,13.5,26.9,14.5
0180,Adams-Arapahoe 28J,English Language Arts,04,44.2,25.9,17.8
0180,Adams-Arapahoe 28J,English Language Arts,05,36.8,37.0,33.0
0180,Adams-Arapahoe 28J,English Language Arts,06,43.3,36.2,33.3
0180,Adams-Arapahoe 28J,English Language Arts,07,43.4,38.5,33.7
0180,Adams-Arapahoe 28J,English Language Arts,08,35.9,39.6,50.0
0180,Adams-Arapahoe 28J,Mathematics,All Grades,27.9,26.2,24.9
0180,Adams-Arapahoe 28J,Mathematics,03,21.2,29.2,24.5
0180,Adams-Arapahoe 28J,Mathematics,04,36.2,24.3,22.4
0180,Adams-Arapahoe 28J,Mathematics,05,23.9,25.5,27.8
0180,Adams-Arapahoe 28J,Mathematics,06,33.0,24.5,18.8
0180,Adams-Arapahoe 28J,Mathematics,07,29.5,22.7,23.3
0180,Adams-Arapahoe 28J,Mathematics,08,23.5,31.1,33.3
0180,Adams-Arapahoe 28J,English Language Arts,All Grades,13.7,16.5,12.5
0180,Adams-Arapahoe 28J,English Language Arts,03,16.3,11.7,19.8
0180,Adams-Arapahoe 28J,English Language Arts,04,8.5,21.3,15.0
0180,Adams-Arapahoe 28J,English Language Arts,05,15.8,17.5,5.1
0180,Adams-Arapahoe 28J,Spanish Language Arts,All Grades,- -,N/A,N/A
0180,Adams-Arapahoe 28J,Spanish Language Arts,03,- -,N/A,N/A
0180,Adams-Arapahoe 28J,Spanish Language Arts,04,- -,N/A,N/A
0180,Adams-Arapahoe 28J,Mathematics,All Grades,13.1,11.8,9.5
0180,Adams-Arapahoe 28J,Mathematics,03,16.2,9.9,16.1
0180,Adams-Arapahoe 28J,Mathematics,04,10.6,12.6,10.5
0180,Adams-Arapahoe 28J,Mathematics,05,11.9,13.2,3.4
0180,Adams-Arapahoe 28J,English Language Arts,All Grades,25.4,23.0,22.8
0180,Adams-Arapahoe 28J,English Language Arts,03,20.6,23.6,25.0
0180,Adams-Arapahoe 28J,English Language Arts,04,16.0,19.7,22.4
0180,Adams-Arapahoe 28J,English Language Arts,05,21.6,33.3,20.8
0180,Adams-Arapahoe 28J,English Language Arts,06,30.7,22.5,32.7
0180,Adams-Arapahoe 28J,English Language Arts,07,30.9,21.1,20.0
0180,Adams-Arapahoe 28J,English Language Arts,08,30.4,16.1,17.7
0180,Adams-Arapahoe 28J,Mathematics,All Grades,15.2,12.2,12.0
0180,Adams-Arapahoe 28J,Mathematics,03,14.1,20.4,29.0
0180,Adams-Arapahoe 28J,Mathematics,04,9.8,11.8,18.4
0180,Adams-Arapahoe 28J,Mathematics,05,13.5,23.9,4.1
0180,Adams-Arapahoe 28J,Mathematics,06,16.0,- -,9.6
0180,Adams-Arapahoe 28J,Mathematics,07,15.9,- -,- -
0180,Adams-Arapahoe 28J,Mathematics,08,21.4,8.9,- -
0180,Adams-Arapahoe 28J,English Language Arts,All Grades,5.5,4.5,6.2
0180,Adams-Arapahoe 28J,English Language Arts,06,6.5,2.5,- -
0180,Adams-Arapahoe 28J,English Language Arts,07,5.0,3.9,8.9
0180,Adams-Arapahoe 28J,English Language Arts,08,5.1,6.5,- -
0180,Adams-Arapahoe 28J,Mathematics,All Grades,0.8,0.6,1.1
0180,Adams-Arapahoe 28J,Mathematics,06,- -,- -,- -
0180,Adams-Arapahoe 28J,Mathematics,07,- -,- -,- -
0180,Adams-Arapahoe 28J,Mathematics,08,- -,- -,- -
0180,Adams-Arapahoe 28J,English Language Arts,All Grades,29.1,31.3,21.4
0180,Adams-Arapahoe 28J,English Language Arts,03,16.3,28.9,21.4
0180,Adams-Arapahoe 28J,English Language Arts,04,35.7,N/A,N/A
0180,Adams-Arapahoe 28J,English Language Arts,05,34.7,N/A,N/A
0180,Adams-Arapahoe 28J,Mathematics,All Grades,25.6,20.5,17.1
0180,Adams-Arapahoe 28J,Mathematics,03,23.8,20.0,17.1
0180,Adams-Arapahoe 28J,Mathematics,04,31.0,N/A,N/A
0180,Adams-Arapahoe 28J,Mathematics,05,22.4,N/A,N/A
0180,Adams-Arapahoe 28J,English Language Arts,All Grades,11.6,18.0,16.3
0180,Adams-Arapahoe 28J,English Language Arts,03,10.3,7.8,10.8
0180,Adams-Arapahoe 28J,English Language Arts,04,9.5,20.6,20.8
0180,Adams-Arapahoe 28J,English Language Arts,05,15.2,24.4,16.3
0180,Adams-Arapahoe 28J,Spanish Language Arts,All Grades,- -,N/A,N/A
0180,Adams-Arapahoe 28J,Spanish Language Arts,03,- -,N/A,N/A
0180,Adams-Arapahoe 28J,Mathematics,All Grades,10.0,10.6,11.1
0180,Adams-Arapahoe 28J,Mathematics,03,15.0,12.9,15.5
0180,Adams-Arapahoe 28J,Mathematics,04,4.7,8.5,13.3
0180,Adams-Arapahoe 28J,Mathematics,05,9.2,10.5,6.1
0190,Byers 32J,English Language Arts,All Grades,54.1,51.6,51.6
0190,Byers 32J,English Language Arts,03,- -,67.9,- -
0190,Byers 32J,English Language Arts,04,- -,- -,- -
0190,Byers 32J,English Language Arts,05,- -,- -,- -
0190,Byers 32J,English Language Arts,06,55.6,43.8,50.0
0190,Byers 32J,Mathematics,All Grades,48.1,47.5,43.9
0190,Byers 32J,Mathematics,03,- -,82.1,- -
0190,Byers 32J,Mathematics,04,- -,- -,- -
0190,Byers 32J,Mathematics,05,- -,45.8,25.0
0190,Byers 32J,Mathematics,06,- -,- -,- -
0190,Byers 32J,English Language Arts,All Grades,30.4,45.1,48.7
0190,Byers 32J,English Language Arts,07,- -,42.9,46.5
0190,Byers 32J,English Language Arts,08,- -,46.5,51.4
0190,Byers 32J,Mathematics,All Grades,- -,26.4,29.5
0190,Byers 32J,Mathematics,07,- -,- -,32.6
0190,Byers 32J,Mathematics,08,- -,- -,25.7
0190,Byers 32J,English Language Arts,All Grades,- -,- -,- -
0190,Byers 32J,English Language Arts,07,- -,- -,- -
0190,Byers 32J,English Language Arts,08,- -,- -,- -
0190,Byers 32J,Mathematics,All Grades,- -,- -,- -
0190,Byers 32J,Mathematics,07,- -,- -,- -
0190,Byers 32J,Mathematics,08,- -,- -,- -
0190,Byers 32J,English Language Arts,All Grades,25.0,32.1,- -
0190,Byers 32J,English Language Arts,03,- -,- -,- -
0190,Byers 32J,English Language Arts,04,- -,- -,- -
0190,Byers 32J,English Language Arts,05,- -,- -,- -
0190,Byers 32J,English Language Arts,06,- -,- -,- -
0190,Byers 32J,Mathematics,All Grades,- -,15.4,- -
0190,Byers 32J,Mathematics,03,- -,- -,- -
0190,Byers 32J,Mathematics,04,- -,- -,- -
0190,Byers 32J,Mathematics,05,- -,- -,- -
0190,Byers 32J,Mathematics,06,- -,- -,- -
0190,Byers 32J,English Language Arts,All Grades,- -,- -,- -
0190,Byers 32J,English Language Arts,07,- -,- -,- -
0190,Byers 32J,English Language Arts,08,- -,- -,- -
0190,Byers 32J,Mathematics,All Grades,- -,- -,- -
0190,Byers 32J,Mathematics,07,- -,- -,- -
0190,Byers 32J,Mathematics,08,- -,- -,- -
0190,Byers 32J,English Language Arts,All Grades,- -,20.8,- -
0190,Byers 32J,English Language Arts,03,- -,- -,- -
0190,Byers 32J,English Language Arts,04,- -,- -,- -
0190,Byers 32J,English Language Arts,05,- -,- -,- -
0190,Byers 32J,Mathematics,All Grades,- -,10.6,- -
0190,Byers 32J,Mathematics,03,- -,- -,- -
0190,Byers 32J,Mathematics,04,- -,- -,- -
0190,Byers 32J,Mathematics,05,- -,- -,- -
0190,Byers 32J,English Language Arts,All Grades,- -,14.6,27.1
0190,Byers 32J,English Language Arts,06,- -,- -,- -
0190,Byers 32J,English Language Arts,07,- -,- -,- -
0190,Byers 32J,English Language Arts,08,- -,21.2,23.8
0190,Byers 32J,Mathematics,All Grades,- -,8.2,14.3
0190,Byers 32J,Mathematics,06,- -,- -,- -
0190,Byers 32J,Mathematics,07,- -,10.3,- -
0190,Byers 32J,Mathematics,08,- -,- -,- -
0220,Archuleta County 50 Jt,English Language Arts,All Grades,32.1,33.5,36.5
0220,Archuleta County 50 Jt,English Language Arts,03,- -,- -,- -
0220,Archuleta County 50 Jt,English Language Arts,04,- -,- -,- -
0220,Archuleta County 50 Jt,Mathematics,All Grades,32.6,26.7,30.7
0220,Archuleta County 50 Jt,Mathematics,03,- -,- -,- -
0220,Archuleta County 50 Jt,Mathematics,04,- -,- -,- -
0220,Archuleta County 50 Jt,English Language Arts,All Grades,46.6,44.1,27.1
0220,Archuleta County 50 Jt,English Language Arts,05,42.6,- -,- -
0220,Archuleta County 50 Jt,English Language Arts,06,- -,- -,- -
0220,Archuleta County 50 Jt,English Language Arts,07,- -,- -,- -
0220,Archuleta County 50 Jt,English Language Arts,08,- -,- -,- -
0220,Archuleta County 50 Jt,Mathematics,All Grades,27.1,29.5,16.6
0220,Archuleta County 50 Jt,Mathematics,05,- -,- -,- -
0220,Archuleta County 50 Jt,Mathematics,06,- -,- -,- -
0220,Archuleta County 50 Jt,Mathematics,07,- -,- -,- -
0220,Archuleta County 50 Jt,Mathematics,08,- -,- -,- -
0220,Archuleta County 50 Jt,English Language Arts,All Grades,32.1,24.5,26.6
0220,Archuleta County 50 Jt,English Language Arts,03,- -,- -,15.8
0220,Archuleta County 50 Jt,English Language Arts,04,- -,26.1,- -
0220,Archuleta County 50 Jt,English Language Arts,05,25.0,- -,- -
0220,Archuleta County 50 Jt,English Language Arts,06,- -,- -,- -
0220,Archuleta County 50 Jt,English Language Arts,07,- -,- -,- -
0220,Archuleta County 50 Jt,English Language Arts,08,- -,- -,- -
0220,Archuleta County 50 Jt,Mathematics,All Grades,17.3,11.3,11.1
0220,Archuleta County 50 Jt,Mathematics,03,- -,- -,21.1
0220,Archuleta County 50 Jt,Mathematics,04,- -,13.0,- -
0220,Archuleta County 50 Jt,Mathematics,05,- -,- -,- -
0220,Archuleta County 50 Jt,Mathematics,06,- -,- -,- -
0220,Archuleta County 50 Jt,Mathematics,07,- -,- -,- -
0220,Archuleta County 50 Jt,Mathematics,08,- -,- -,- -
0230,Walsh RE-1,English Language Arts,All Grades,39.1,44.6,44.8
0230,Walsh RE-1,English Language Arts,03,- -,- -,- -
0230,Walsh RE-1,English Language Arts,04,- -,- -,31.3
0230,Walsh RE-1,English Language Arts,05,- -,- -,50.0
0230,Walsh RE-1,English Language Arts,06,- -,52.6,- -
0230,Walsh RE-1,Mathematics,All Grades,21.7,26.8,24.1
0230,Walsh RE-1,Mathematics,03,- -,- -,- -
0230,Walsh RE-1,Mathematics,04,- -,- -,- -
0230,Walsh RE-1,Mathematics,05,- -,- -,27.8
0230,Walsh RE-1,Mathematics,06,- -,42.1,- -
0230,Walsh RE-1,English Language Arts,All Grades,40.7,33.3,42.3
0230,Walsh RE-1,English Language Arts,07,- -,- -,- -
0230,Walsh RE-1,English Language Arts,08,- -,- -,- -
0230,Walsh RE-1,Mathematics,All Grades,18.5,35.0,34.6
0230,Walsh RE-1,Mathematics,07,- -,- -,- -
0230,Walsh RE-1,Mathematics,08,- -,- -,- -
0240,Pritchett RE-3,English Language Arts,All Grades,- -,- -,- -
0240,Pritchett RE-3,English Language Arts,03,- -,- -,- -
0240,Pritchett RE-3,English Language Arts,04,- -,- -,- -
0240,Pritchett RE-3,English Language Arts,05,- -,- -,- -
0240,Pritchett RE-3,Mathematics,All Grades,- -,- -,- -
0240,Pritchett RE-3,Mathematics,03,- -,- -,- -
0240,Pritchett RE-3,Mathematics,04,- -,- -,- -
0240,Pritchett RE-3,Mathematics,05,- -,- -,- -
0240,Pritchett RE-3,English Language Arts,All Grades,- -,- -,- -
0240,Pritchett RE-3,English Language Arts,06,- -,N/A,N/A
0240,Pritchett RE-3,English Language Arts,07,- -,- -,- -
0240,Pritchett RE-3,English Language Arts,08,- -,- -,- -
0240,Pritchett RE-3,Mathematics,All Grades,- -,- -,- -
0240,Pritchett RE-3,Mathematics,06,- -,N/A,N/A
0240,Pritchett RE-3,Mathematics,07,- -,- -,- -
0240,Pritchett RE-3,Mathematics,08,- -,- -,- -
0250,Springfield RE-4,English Language Arts,All Grades,32.7,22.6,32.3
0250,Springfield RE-4,English Language Arts,03,33.3,22.2,38.1
0250,Springfield RE-4,English Language Arts,04,- -,25.0,33.3
0250,Springfield RE-4,English Language Arts,05,- -,21.1,26.1
0250,Springfield RE-4,Mathematics,All Grades,23.1,- -,- -
0250,Springfield RE-4,Mathematics,03,27.8,66.7,38.1
0250,Springfield RE-4,Mathematics,04,- -,25.0,- -
0250,Springfield RE-4,Mathematics,05,- -,- -,13.0
0250,Springfield RE-4,English Language Arts,All Grades,17.6,18.3,25.0
0250,Springfield RE-4,English Language Arts,06,22.2,15.0,28.6
0250,Springfield RE-4,English Language Arts,07,- -,27.8,21.7
0250,Springfield RE-4,English Language Arts,08,- -,13.6,25.0
0250,Springfield RE-4,Mathematics,All Grades,9.8,12.9,10.9
0250,Springfield RE-4,Mathematics,06,- -,- -,- -
0250,Springfield RE-4,Mathematics,07,- -,- -,- -
0250,Springfield RE-4,Mathematics,08,- -,- -,19.0
0260,Vilas RE-5,English Language Arts,All Grades,- -,- -,- -
0260,Vilas RE-5,English Language Arts,03,- -,- -,- -
0260,Vilas RE-5,English Language Arts,04,- -,- -,- -
0260,Vilas RE-5,English Language Arts,05,- -,- -,- -
0260,Vilas RE-5,English Language Arts,06,- -,- -,- -
0260,Vilas RE-5,Mathematics,All Grades,- -,- -,- -
0260,Vilas RE-5,Mathematics,03,- -,- -,- -
0260,Vilas RE-5,Mathematics,04,- -,- -,- -
0260,Vilas RE-5,Mathematics,05,- -,- -,- -
0260,Vilas RE-5,Mathematics,06,- -,- -,- -
0260,Vilas RE-5,English Language Arts,All Grades,- -,- -,- -
0260,Vilas RE-5,English Language Arts,07,- -,- -,- -
0260,Vilas RE-5,English Language Arts,08,- -,- -,- -
0260,Vilas RE-5,Mathematics,All Grades,- -,- -,- -
0260,Vilas RE-5,Mathematics,07,- -,- -,- -
0260,Vilas RE-5,Mathematics,08,- -,- -,- -
0270,Campo RE-6,English Language Arts,All Grades,- -,- -,- -
0270,Campo RE-6,English Language Arts,03,- -,- -,- -
0270,Campo RE-6,English Language Arts,04,- -,- -,- -
0270,Campo RE-6,English Language Arts,05,- -,- -,- -
0270,Campo RE-6,Mathematics,All Grades,- -,- -,- -
0270,Campo RE-6,Mathematics,03,- -,- -,- -
0270,Campo RE-6,Mathematics,04,- -,- -,- -
0270,Campo RE-6,Mathematics,05,- -,- -,- -
0270,Campo RE-6,English Language Arts,All Grades,- -,- -,- -
0270,Campo RE-6,English Language Arts,06,- -,- -,- -
0270,Campo RE-6,English Language Arts,07,- -,- -,- -
0270,Campo RE-6,English Language Arts,08,- -,- -,- -
0270,Campo RE-6,Mathematics,All Grades,- -,- -,- -
0270,Campo RE-6,Mathematics,06,- -,- -,- -
0270,Campo RE-6,Mathematics,07,- -,- -,- -
0270,Campo RE-6,Mathematics,08,- -,- -,- -
0290,Las Animas RE-1,English Language Arts,All Grades,- -,10.4,- -
0290,Las Animas RE-1,English Language Arts,06,- -,- -,- -
0290,Las Animas RE-1,English Language Arts,07,- -,- -,- -
0290,Las Animas RE-1,English Language Arts,08,- -,- -,- -
0290,Las Animas RE-1,Mathematics,All Grades,- -,- -,- -
0290,Las Animas RE-1,Mathematics,06,- -,- -,- -
0290,Las Animas RE-1,Mathematics,07,- -,- -,- -
0290,Las Animas RE-1,Mathematics,08,- -,- -,- -
0290,Las Animas RE-1,English Language Arts,All Grades,54.8,35.9,32.7
0290,Las Animas RE-1,English Language Arts,03,59.4,- -,41.0
0290,Las Animas RE-1,English Language Arts,04,- -,31.4,- -
0290,Las Animas RE-1,English Language Arts,05,48.5,40.0,31.7
0290,Las Animas RE-1,English Language Arts,06,- -,- -,- -
0290,Las Animas RE-1,Mathematics,All Grades,36.8,21.9,20.3
0290,Las Animas RE-1,Mathematics,03,53.1,34.5,30.8
0290,Las Animas RE-1,Mathematics,04,- -,- -,22.9
0290,Las Animas RE-1,Mathematics,05,20.6,32.3,- -
0290,Las Animas RE-1,Mathematics,06,- -,- -,- -
0290,Las Animas RE-1,English Language Arts,All Grades,- -,16.7,- -
0290,Las Animas RE-1,English Language Arts,07,- -,- -,- -
0290,Las Animas RE-1,English Language Arts,08,- -,- -,- -
0290,Las Animas RE-1,Mathematics,All Grades,- -,- -,- -
0290,Las Animas RE-1,Mathematics,07,- -,- -,- -
0290,Las Animas RE-1,Mathematics,08,- -,- -,- -
0310,McClave Re-2,English Language Arts,All Grades,61.5,45.9,48.4
0310,McClave Re-2,English Language Arts,03,- -,- -,30.0
0310,McClave Re-2,English Language Arts,04,- -,28.6,- -
0310,McClave Re-2,English Language Arts,05,57.9,- -,- -
0310,McClave Re-2,English Language Arts,06,- -,- -,- -
0310,McClave Re-2,Mathematics,All Grades,67.3,55.7,60.9
0310,McClave Re-2,Mathematics,03,- -,- -,55.0
0310,McClave Re-2,Mathematics,04,- -,33.3,- -
0310,McClave Re-2,Mathematics,05,68.4,- -,- -
0310,McClave Re-2,Mathematics,06,- -,- -,- -
0310,McClave Re-2,English Language Arts,All Grades,70.6,69.7,63.2
0310,McClave Re-2,English Language Arts,07,- -,76.5,- -
0310,McClave Re-2,English Language Arts,08,- -,62.5,- -
0310,McClave Re-2,Mathematics,All Grades,73.5,66.7,52.6
0310,McClave Re-2,Mathematics,07,- -,52.9,- -
0310,McClave Re-2,Mathematics,08,- -,81.3,- -
0470,St Vrain Valley RE1J,English Language Arts,All Grades,42.3,44.7,40.6
0470,St Vrain Valley RE1J,English Language Arts,03,32.9,44.3,31.9
0470,St Vrain Valley RE1J,English Language Arts,04,55.0,28.8,32.1
0470,St Vrain Valley RE1J,English Language Arts,05,41.0,58.0,57.1
0470,St Vrain Valley RE1J,Mathematics,All Grades,41.1,39.3,36.4
0470,St Vrain Valley RE1J,Mathematics,03,31.5,56.5,43.5
0470,St Vrain Valley RE1J,Mathematics,04,60.7,30.9,25.3
0470,St Vrain Valley RE1J,Mathematics,05,33.3,33.3,41.6
0470,St Vrain Valley RE1J,English Language Arts,All Grades,39.7,44.8,35.7
0470,St Vrain Valley RE1J,English Language Arts,03,36.1,40.8,31.5
0470,St Vrain Valley RE1J,English Language Arts,04,38.1,44.2,40.8
0470,St Vrain Valley RE1J,English Language Arts,05,47.4,50.0,35.3
0470,St Vrain Valley RE1J,Mathematics,All Grades,38.2,36.3,32.0
0470,St Vrain Valley RE1J,Mathematics,03,35.5,38.8,29.6
0470,St Vrain Valley RE1J,Mathematics,04,38.1,29.5,27.7
0470,St Vrain Valley RE1J,Mathematics,05,42.5,40.5,38.5
0470,St Vrain Valley RE1J,English Language Arts,All Grades,49.0,42.7,47.8
0470,St Vrain Valley RE1J,English Language Arts,03,40.0,48.3,52.9
0470,St Vrain Valley RE1J,English Language Arts,04,44.4,43.3,36.8
0470,St Vrain Valley RE1J,English Language Arts,05,49.3,31.7,50.7
0470,St Vrain Valley RE1J,English Language Arts,06,41.0,43.1,51.0
0470,St Vrain Valley RE1J,English Language Arts,07,69.5,55.3,39.5
0470,St Vrain Valley RE1J,English Language Arts,08,52.4,33.3,52.5
0470,St Vrain Valley RE1J,Mathematics,All Grades,49.6,41.9,47.6
0470,St Vrain Valley RE1J,Mathematics,03,52.1,58.6,64.3
0470,St Vrain Valley RE1J,Mathematics,04,42.9,38.2,45.6
0470,St Vrain Valley RE1J,Mathematics,05,49.3,34.4,31.3
0470,St Vrain Valley RE1J,Mathematics,06,38.1,29.7,52.1
0470,St Vrain Valley RE1J,Mathematics,07,56.9,55.3,39.5
0470,St Vrain Valley RE1J,Mathematics,08,61.9,38.2,50.0
0470,St Vrain Valley RE1J,English Language Arts,All Grades,71.9,74.8,73.9
0470,St Vrain Valley RE1J,English Language Arts,06,71.0,75.5,73.8
0470,St Vrain Valley RE1J,English Language Arts,07,72.9,71.9,79.8
0470,St Vrain Valley RE1J,English Language Arts,08,72.0,77.0,65.6
0470,St Vrain Valley RE1J,Mathematics,All Grades,65.6,64.1,62.8
0470,St Vrain Valley RE1J,Mathematics,06,63.8,55.5,60.9
0470,St Vrain Valley RE1J,Mathematics,07,59.9,57.7,57.5
0470,St Vrain Valley RE1J,Mathematics,08,73.7,77.2,72.5
0470,St Vrain Valley RE1J,English Language Arts,All Grades,62.2,64.5,68.9
0470,St Vrain Valley RE1J,English Language Arts,03,57.1,58.8,62.8
0470,St Vrain Valley RE1J,English Language Arts,04,60.2,73.0,70.0
0470,St Vrain Valley RE1J,English Language Arts,05,71.8,62.5,75.0
0470,St Vrain Valley RE1J,Mathematics,All Grades,57.5,65.0,60.7
0470,St Vrain Valley RE1J,Mathematics,03,58.9,75.3,60.0
0470,St Vrain Valley RE1J,Mathematics,04,52.6,55.6,50.0
0470,St Vrain Valley RE1J,Mathematics,05,61.3,63.5,75.3
0470,St Vrain Valley RE1J,English Language Arts,All Grades,68.9,72.2,71.3
0470,St Vrain Valley RE1J,English Language Arts,03,66.3,67.5,59.5
0470,St Vrain Valley RE1J,English Language Arts,04,69.2,60.0,76.1
0470,St Vrain Valley RE1J,English Language Arts,05,71.1,90.0,77.5
0470,St Vrain Valley RE1J,Mathematics,All Grades,72.5,74.0,70.7
