District Code,District Name,Content,Grade,2025,2024,2023
0050,Bennett 29J,English Language Arts,All Grades,27.7,29.6,28.2
0050,Bennett 29J,English Language Arts,03,24.2,34.4,28.9
0050,Bennett 29J,English Language Arts,04,26.5,32.5,35.8
0050,Bennett 29J,English Language Arts,05,40.2,36.4,23.5
0050,Bennett 29J,English Language Arts,06,27.2,27.7,30.0
0050,Bennett 29J,English Language Arts,07,23.0,27.0,29.7
0050,Bennett 29J,English Language Arts,08,25.0,17.9,23.2
0050,Bennett 29J,Mathematics,All Grades,17.6,18.1,14.6
0050,Bennett 29J,Mathematics,03,23.8,22.8,26.0
0050,Bennett 29J,Mathematics,04,15.3,25.6,19.4
0050,Bennett 29J,Mathematics,05,28.5,25.9,15.9
0050,Bennett 29J,Mathematics,06,19.2,11.7,7.8
0050,Bennett 29J,Mathematics,07,10.4,9.5,12.2
0050,Bennett 29J,Mathematics,08,8.1,12.6,9.4
0060,Strasburg 31J,English Language Arts,All Grades,35.3,32.1,32.1
0060,Strasburg 31J,English Language Arts,03,30.4,25.0,30.1
0060,Strasburg 31J,English Language Arts,04,32.9,32.9,25.6
0060,Strasburg 31J,English Language Arts,05,32.9,43.4,41.0
0060,Strasburg 31J,English Language Arts,06,45.6,29.1,33.7
0060,Strasburg 31J,English Language Arts,07,36.9,40.5,32.5
0060,Strasburg 31J,English Language Arts,08,34.6,20.7,30.2
0060,Strasburg 31J,Mathematics,All Grades,30.1,25.7,25.4
0060,Strasburg 31J,Mathematics,03,29.5,34.2,42.2
0060,Strasburg 31J,Mathematics,04,32.4,20.3,22.0
0060,Strasburg 31J,Mathematics,05,49.4,41.0,28.2
0060,Strasburg 31J,Mathematics,06,30.9,10.1,20.5
0060,Strasburg 31J,Mathematics,07,15.9,22.8,19.5
0060,Strasburg 31J,Mathematics,08,24.4,25.6,19.8
0070,Westminster Public Schools,English Language Arts,All Grades,22.8,22.8,24.8
0070,Westminster Public Schools,English Language Arts,03,17.3,18.7,19.6
0070,Westminster Public Schools,English Language Arts,04,16.6,17.4,20.8
0070,Westminster Public Schools,English Language Arts,05,25.6,23.6,25.0
0070,Westminster Public Schools,English Language Arts,06,21.6,24.0,26.9
0070,Westminster Public Schools,English Language Arts,07,31.6,26.4,31.4
0070,Westminster Public Schools,English Language Arts,08,24.4,26.6,24.7
0070,Westminster Public Schools,Mathematics,All Grades,15.1,15.7,15.5
0070,Westminster Public Schools,Mathematics,03,18.4,23.5,21.6
0070,Westminster Public Schools,Mathematics,04,14.5,13.8,15.9
0070,Westminster Public Schools,Mathematics,05,17.4,18.5,17.8
0070,Westminster Public Schools,Mathematics,06,12.2,11.3,13.4
0070,Westminster Public Schools,Mathematics,07,14.6,12.8,13.0
0070,Westminster Public Schools,Mathematics,08,13.5,14.5,12.0
0100,Alamosa RE-11J,English Language Arts,All Grades,33.6,33.3,31.8
0100,Alamosa RE-11J,English Language Arts,03,32.0,35.9,24.7
0100,Alamosa RE-11J,English Language Arts,04,26.2,35.3,38.8
0100,Alamosa RE-11J,English Language Arts,05,47.1,37.9,39.6
0100,Alamosa RE-11J,English Language Arts,06,20.3,21.7,30.2
0100,Alamosa RE-11J,English Language Arts,07,36.0,38.9,35.6
0100,Alamosa RE-11J,English Language Arts,08,35.9,30.3,24.4
0100,Alamosa RE-11J,Mathematics,All Grades,20.2,19.7,18.4
0100,Alamosa RE-11J,Mathematics,03,36.4,32.8,26.0
0100,Alamosa RE-11J,Mathematics,04,18.7,24.0,24.5
0100,Alamosa RE-11J,Mathematics,05,26.4,23.6,20.8
0100,Alamosa RE-11J,Mathematics,06,5.6,8.5,12.4
0100,Alamosa RE-11J,Mathematics,07,11.8,14.8,14.7
0100,Alamosa RE-11J,Mathematics,08,20.1,16.1,12.8
0110,Sangre De Cristo Re-22J,English Language Arts,All Grades,61.5,53.0,62.3
0110,Sangre De Cristo Re-22J,English Language Arts,03,- -,57.9,57.1
0110,Sangre De Cristo Re-22J,English Language Arts,04,70.6,43.5,66.7
0110,Sangre De Cristo Re-22J,English Language Arts,05,52.4,59.1,- -
0110,Sangre De Cristo Re-22J,English Language Arts,06,71.4,26.9,59.3
0110,Sangre De Cristo Re-22J,English Language Arts,07,- -,53.8,- -
0110,Sangre De Cristo Re-22J,English Language Arts,08,54.2,88.9,70.4
0110,Sangre De Cristo Re-22J,Mathematics,All Grades,31.6,33.6,34.6
0110,Sangre De Cristo Re-22J,Mathematics,03,- -,52.6,42.9
0110,Sangre De Cristo Re-22J,Mathematics,04,41.2,30.4,33.3
0110,Sangre De Cristo Re-22J,Mathematics,05,28.6,54.5,- -
0110,Sangre De Cristo Re-22J,Mathematics,06,33.3,11.5,25.9
0110,Sangre De Cristo Re-22J,Mathematics,07,- -,26.9,- -
0110,Sangre De Cristo Re-22J,Mathematics,08,41.7,33.3,44.4
0120,Englewood 1,English Language Arts,All Grades,33.6,33.9,37.1
0120,Englewood 1,English Language Arts,03,31.8,33.3,26.7
0120,Englewood 1,English Language Arts,04,29.1,26.5,28.5
0120,Englewood 1,English Language Arts,05,30.9,28.1,40.6
0120,Englewood 1,English Language Arts,06,36.4,49.4,55.0
0120,Englewood 1,English Language Arts,07,37.0,42.7,32.7
0120,Englewood 1,English Language Arts,08,37.2,21.1,41.2
0120,Englewood 1,Mathematics,All Grades,23.9,22.4,22.8
0120,Englewood 1,Mathematics,03,33.5,28.7,19.4
0120,Englewood 1,Mathematics,04,23.8,14.9,13.8
0120,Englewood 1,Mathematics,05,17.8,15.8,26.5
0120,Englewood 1,Mathematics,06,20.3,32.3,30.3
0120,Englewood 1,Mathematics,07,19.9,29.7,13.2
0120,Englewood 1,Mathematics,08,27.4,11.9,33.1
0123,Sheridan 2,English Language Arts,All Grades,10.4,14.3,14.1
0123,Sheridan 2,English Language Arts,03,5.5,11.8,26.8
0123,Sheridan 2,English Language Arts,04,- -,11.9,10.6
0123,Sheridan 2,English Language Arts,05,15.6,19.0,12.1
0123,Sheridan 2,English Language Arts,06,- -,24.2,8.8
0123,Sheridan 2,English Language Arts,07,17.6,10.0,11.8
0123,Sheridan 2,English Language Arts,08,11.1,9.5,17.3
0123,Sheridan 2,Spanish Language Arts,All Grades,- -,- -,- -
0123,Sheridan 2,Spanish Language Arts,03,- -,- -,- -
0123,Sheridan 2,Spanish Language Arts,04,- -,N/A,N/A
0123,Sheridan 2,Mathematics,All Grades,4.9,4.6,5.4
0123,Sheridan 2,Mathematics,03,13.8,4.3,23.8
0123,Sheridan 2,Mathematics,04,- -,- -,- -
0123,Sheridan 2,Mathematics,05,8.7,9.3,6.1
0123,Sheridan 2,Mathematics,06,- -,5.8,- -
0123,Sheridan 2,Mathematics,07,- -,- -,- -
0123,Sheridan 2,Mathematics,08,- -,- -,- -
0130,Cherry Creek 5,English Language Arts,All Grades,48.2,48.3,49.7
0130,Cherry Creek 5,English Language Arts,03,43.9,45.4,46.1
0130,Cherry Creek 5,English Language Arts,04,44.6,45.7,49.3
0130,Cherry Creek 5,English Language Arts,05,52.4,53.1,54.9
0130,Cherry Creek 5,English Language Arts,06,46.0,47.1,46.5
0130,Cherry Creek 5,English Language Arts,07,55.0,51.1,51.4
0130,Cherry Creek 5,English Language Arts,08,48.1,47.3,50.2
0130,Cherry Creek 5,Spanish Language Arts,All Grades,- -,- -,- -
0130,Cherry Creek 5,Spanish Language Arts,03,- -,N/A,N/A
0130,Cherry Creek 5,Spanish Language Arts,04,- -,- -,- -
0130,Cherry Creek 5,Mathematics,All Grades,42.8,40.8,39.9
0130,Cherry Creek 5,Mathematics,03,47.4,48.6,47.8
0130,Cherry Creek 5,Mathematics,04,43.1,39.1,36.4
0130,Cherry Creek 5,Mathematics,05,46.0,44.5,42.7
0130,Cherry Creek 5,Mathematics,06,36.6,35.6,33.7
0130,Cherry Creek 5,Mathematics,07,41.4,35.2,34.1
0130,Cherry Creek 5,Mathematics,08,41.3,40.0,44.2
0140,Littleton 6,English Language Arts,All Grades,61.9,60.1,59.9
0140,Littleton 6,English Language Arts,03,55.5,56.4,49.9
0140,Littleton 6,English Language Arts,04,60.8,57.6,59.7
0140,Littleton 6,English Language Arts,05,62.7,62.5,61.5
0140,Littleton 6,English Language Arts,06,59.6,61.1,61.9
0140,Littleton 6,English Language Arts,07,67.4,64.7,61.1
0140,Littleton 6,English Language Arts,08,65.4,58.4,67.1
0140,Littleton 6,Mathematics,All Grades,54.3,52.6,51.2
0140,Littleton 6,Mathematics,03,58.4,58.1,54.8
0140,Littleton 6,Mathematics,04,54.4,50.5,41.3
0140,Littleton 6,Mathematics,05,58.2,53.2,50.2
0140,Littleton 6,Mathematics,06,46.8,46.8,49.6
0140,Littleton 6,Mathematics,07,53.2,52.6,50.2
0140,Littleton 6,Mathematics,08,54.5,54.8,62.0
0170,Deer Trail 26J,English Language Arts,All Grades,18.0,9.7,14.1
0170,Deer Trail 26J,English Language Arts,03,13.0,- -,- -
0170,Deer Trail 26J,English Language Arts,04,- -,21.7,37.9
0170,Deer Trail 26J,English Language Arts,05,15.0,- -,- -
0170,Deer Trail 26J,English Language Arts,06,28.6,- -,12.9
0170,Deer Trail 26J,English Language Arts,07,31.6,13.3,- -
0170,Deer Trail 26J,English Language Arts,08,- -,- -,- -
0170,Deer Trail 26J,Mathematics,All Grades,15.7,15.1,20.4
0170,Deer Trail 26J,Mathematics,03,- -,21.1,- -
0170,Deer Trail 26J,Mathematics,04,- -,26.1,44.8
0170,Deer Trail 26J,Mathematics,05,22.7,20.0,35.0
0170,Deer Trail 26J,Mathematics,06,17.9,- -,12.9
0170,Deer Trail 26J,Mathematics,07,31.6,10.0,- -
