FISCAL_YEAR,ORG_CODE,GRANT_TYPE,AMOUNT,TOTAL_STUDENTS,NON_CHARTER_STUDENTS,CHARTER_STUDENTS,PER_PUPIL
2023-2024,2690,Federal," 	27,766,482.00 "," 	14,567 "," 	12,927 "," 	1,640 "," 	1,906 "
2023-2024,2690,State/Local," 	182,214,495.93 "," 	14,567 "," 	12,927 "," 	1,640 "," 	12,509 "
2023-2024,2700,Federal," 	13,273,653.09 "," 	10,655 "," 	8,983 "," 	1,672 "," 	1,246 "
2023-2024,2700,State/Local," 	118,059,338.58 "," 	10,655 "," 	8,983 "," 	1,672 "," 	11,080 "
2023-2024,2710,Federal," 	166,667.97 ", 	731 , 	731 , 	-   , 	228 
2023-2024,2710,State/Local," 	10,236,609.90 ", 	731 , 	731 , 	-   ," 	14,004 "
2023-2024,2720,Federal," 	255,320.03 ", 	502 , 	502 , 	-   , 	509 
2023-2024,2720,State/Local," 	8,415,267.52 ", 	502 , 	502 , 	-   ," 	16,763 "
2023-2024,2730,Federal," 	244,144.42 ", 	371 , 	371 , 	-   , 	658 
2023-2024,2730,State/Local," 	6,662,416.64 ", 	371 , 	371 , 	-   ," 	17,958 "
2023-2024,2740,Federal," 	2,187,076.69 "," 	1,010 "," 	1,010 ", 	-   ," 	2,165 "
2023-2024,2740,State/Local," 	13,682,726.68 "," 	1,010 "," 	1,010 ", 	-   ," 	13,547 "
2023-2024,2750,Federal," 	223,175.21 ", 	297 , 	297 , 	-   , 	751 
2023-2024,2750,State/Local," 	5,045,965.90 ", 	297 , 	297 , 	-   ," 	16,990 "
2023-2024,2760,Federal," 	360,924.36 ", 	446 , 	446 , 	-   , 	809 
2023-2024,2760,State/Local," 	7,244,764.75 ", 	446 , 	446 , 	-   ," 	16,244 "
2023-2024,2770,Federal," 	1,235,492.02 "," 	2,575 "," 	2,492 ", 	83 , 	480 
2023-2024,2770,State/Local," 	51,113,209.01 "," 	2,575 "," 	2,492 ", 	83 ," 	19,850 "
2023-2024,2790,Federal," 	315,767.27 ", 	230 , 	230 , 	-   ," 	1,373 "
2023-2024,2790,State/Local," 	3,547,759.71 ", 	230 , 	230 , 	-   ," 	15,425 "
2023-2024,2800,Federal," 	889,785.15 ", 	189 , 	102 , 	87 ," 	4,708 "
2023-2024,2800,State/Local," 	4,242,595.04 ", 	189 , 	102 , 	87 ," 	22,448 "
2023-2024,2810,Federal," 	2,520,651.50 ", 	606 , 	606 , 	-   ," 	4,159 "
2023-2024,2810,State/Local," 	10,849,182.70 ", 	606 , 	606 , 	-   ," 	17,903 "
2023-2024,2820,Federal," 	149,044.90 ", 	75 , 	75 , 	-   ," 	1,987 "
2023-2024,2820,State/Local," 	2,612,269.35 ", 	75 , 	75 , 	-   ," 	34,830 "
2023-2024,2830,Federal," 	922,666.32 ", 	801 , 	801 , 	-   ," 	1,152 "
2023-2024,2830,State/Local," 	18,389,914.45 ", 	801 , 	801 , 	-   ," 	22,959 "
2023-2024,2840,Federal," 	168,449.28 ", 	193 , 	193 , 	-   , 	873 
2023-2024,2840,State/Local," 	4,223,653.00 ", 	193 , 	193 , 	-   ," 	21,884 "
2023-2024,2862,Federal," 	328,236.63 ", 	797 , 	797 , 	-   , 	412 
2023-2024,2862,State/Local," 	8,471,908.54 ", 	797 , 	797 , 	-   ," 	10,630 "
2023-2024,2865,Federal," 	131,591.00 ", 	145 , 	145 , 	-   , 	908 
2023-2024,2865,State/Local," 	2,941,244.42 ", 	145 , 	145 , 	-   ," 	20,284 "
2023-2024,3000,Federal," 	1,916,134.92 "," 	3,572 "," 	3,572 ", 	-   , 	536 
2023-2024,3000,State/Local," 	65,945,073.94 "," 	3,572 "," 	3,572 ", 	-   ," 	18,462 "
2023-2024,3010,Federal," 	1,892,391.19 ", 	284 , 	284 , 	-   ," 	6,663 "
2023-2024,3010,State/Local," 	6,083,809.65 ", 	284 , 	284 , 	-   ," 	21,422 "
2023-2024,3020,Federal," 	1,427,130.80 "," 	2,015 "," 	1,579 ", 	436 , 	708 
2023-2024,3020,State/Local," 	30,180,664.39 "," 	2,015 "," 	1,579 ", 	436 ," 	14,978 "
2023-2024,3030,Federal," 	233,342.07 ", 	415 , 	415 , 	-   , 	562 
2023-2024,3030,State/Local," 	6,167,630.70 ", 	415 , 	415 , 	-   ," 	14,862 "
2023-2024,3040,Federal," 	180,468.14 ", 	92 , 	92 , 	-   ," 	1,962 "
2023-2024,3040,State/Local," 	2,714,942.71 ", 	92 , 	92 , 	-   ," 	29,510 "
2023-2024,3050,Federal," 	231,230.00 ", 	198 , 	198 , 	-   ," 	1,168 "
2023-2024,3050,State/Local," 	3,773,148.22 ", 	198 , 	198 , 	-   ," 	19,056 "
2023-2024,3060,Federal," 	637,635.99 ", 	125 , 	125 , 	-   ," 	5,101 "
2023-2024,3060,State/Local," 	2,600,097.54 ", 	125 , 	125 , 	-   ," 	20,801 "
2023-2024,3070,Federal," 	120,029.73 ", 	76 , 	76 , 	-   ," 	1,579 "
2023-2024,3070,State/Local," 	2,070,323.04 ", 	76 , 	76 , 	-   ," 	27,241 "
2023-2024,3080,Federal," 	1,163,466.62 "," 	1,768 "," 	1,768 ", 	-   , 	658 
2023-2024,3080,State/Local," 	30,439,813.15 "," 	1,768 "," 	1,768 ", 	-   ," 	17,217 "
2023-2024,3085,Federal," 	617,275.27 "," 	2,007 "," 	2,007 ", 	-   , 	308 
2023-2024,3085,State/Local," 	25,086,151.64 "," 	2,007 "," 	2,007 ", 	-   ," 	12,499 "
2023-2024,3090,Federal," 	3,374,939.68 "," 	2,715 "," 	2,535 ", 	180 ," 	1,243 "
2023-2024,3090,State/Local," 	34,611,369.60 "," 	2,715 "," 	2,535 ", 	180 ," 	12,748 "
2023-2024,3100,Federal," 	2,841,404.01 "," 	8,459 "," 	6,517 "," 	1,942 ", 	336 
2023-2024,3100,State/Local," 	104,850,425.00 "," 	8,459 "," 	6,517 "," 	1,942 "," 	12,395 "
2023-2024,3110,Federal," 	1,952,649.56 "," 	3,955 "," 	3,393 ", 	562 , 	494 
2023-2024,3110,State/Local," 	52,008,349.97 "," 	3,955 "," 	3,393 ", 	562 ," 	13,150 "
2023-2024,3120,Federal," 	33,863,719.79 "," 	22,664 "," 	17,670 "," 	4,994 "," 	1,494 "
2023-2024,3120,State/Local," 	298,554,802.90 "," 	22,664 "," 	17,670 "," 	4,994 "," 	13,173 "
2023-2024,3130,Federal," 	245,293.99 "," 	1,083 "," 	1,083 ", 	-   , 	226 
2023-2024,3130,State/Local," 	19,982,017.79 "," 	1,083 "," 	1,083 ", 	-   ," 	18,451 "
2023-2024,3140,Federal," 	4,739,009.25 "," 	2,497 "," 	2,497 ", 	-   ," 	1,898 "
2023-2024,3140,State/Local," 	32,841,040.61 "," 	2,497 "," 	2,497 ", 	-   ," 	13,152 "
2023-2024,3145,Federal," 	414,102.52 ", 	960 , 	960 , 	-   , 	431 
2023-2024,3145,State/Local," 	12,168,319.03 ", 	960 , 	960 , 	-   ," 	12,675 "
2023-2024,3146,Federal," 	86,105.71 ", 	172 , 	172 , 	-   , 	501 
2023-2024,3146,State/Local," 	4,539,254.06 ", 	172 , 	172 , 	-   ," 	26,391 "
2023-2024,3147,Federal," 	123,263.42 ", 	178 , 	178 , 	-   , 	692 
2023-2024,3147,State/Local," 	4,414,990.02 ", 	178 , 	178 , 	-   ," 	24,803 "
2023-2024,3148,Federal," 	126,721.25 ", 	68 , 	68 , 	-   ," 	1,864 "
2023-2024,3148,State/Local," 	2,181,037.21 ", 	68 , 	68 , 	-   ," 	32,074 "
2023-2024,3200,Federal," 	667,503.23 ", 	843 , 	843 , 	-   , 	792 
2023-2024,3200,State/Local," 	11,005,376.63 ", 	843 , 	843 , 	-   ," 	13,055 "
2023-2024,3210,Federal," 	513,037.21 ", 	742 , 	742 , 	-   , 	691 
2023-2024,3210,State/Local," 	11,542,106.63 ", 	742 , 	742 , 	-   ," 	15,555 "
2023-2024,3220,Federal," 	228,742.56 ", 	164 , 	164 , 	-   ," 	1,395 "
2023-2024,3220,State/Local," 	3,495,854.51 ", 	164 , 	164 , 	-   ," 	21,316 "
2023-2024,3230,Federal," 	161,258.15 ", 	64 , 	64 , 	-   ," 	2,520 "
2023-2024,3230,State/Local," 	1,608,895.51 ", 	64 , 	64 , 	-   ," 	25,139 "
2023-2024,8001,Federal," 	14,326,945.22 "," 	23,013 ", 	-   ," 	23,013 ", 	623 
2023-2024,8001,State/Local," 	267,669,621.70 "," 	23,013 ", 	-   ," 	23,013 "," 	11,631 "
2023-2024,8041,Federal," 	273,584.98 ", 	-   , 	-   , 	-   ,
2023-2024,8041,State/Local," 	2,075,614.98 ", 	-   , 	-   , 	-   ,
2023-2024,8042,Federal," 	234,145.22 ", 	-   , 	-   , 	-   ,
2023-2024,8042,State/Local," 	7,608,735.71 ", 	-   , 	-   , 	-   ,
2023-2024,9025,Federal," 	4,051,223.25 ", 	-   , 	-   , 	-   ,
2023-2024,9025,State/Local," 	12,103,318.91 ", 	-   , 	-   , 	-   ,
2023-2024,9030,Federal," 	882,393.33 ", 	-   , 	-   , 	-   ,
2023-2024,9030,State/Local," 	3,067,634.48 ", 	-   , 	-   , 	-   ,
2023-2024,9035,Federal," 	5,536,773.81 ", 	141 , 	141 , 	-   ," 	39,268 "
2023-2024,9035,State/Local," 	9,093,421.08 ", 	141 , 	141 , 	-   ," 	64,492 "
2023-2024,9040,Federal," 	3,060,479.10 ", 	-   , 	-   , 	-   ,
2023-2024,9040,State/Local," 	5,447,656.43 ", 	-   , 	-   , 	-   ,
2023-2024,9045,Federal," 	1,889,663.24 ", 	-   , 	-   , 	-   ,
2023-2024,9045,State/Local," 	12,998,404.66 ", 	-   , 	-   , 	-   ,
2023-2024,9050,Federal," 	3,037,663.58 ", 	51 , 	51 , 	-   ," 	59,562 "
2023-2024,9050,State/Local," 	7,301,624.57 ", 	51 , 	51 , 	-   ," 	143,169 "
2023-2024,9055,Federal," 	3,293,386.29 ", 	-   , 	-   , 	-   ,
2023-2024,9055,State/Local," 	4,854,231.47 ", 	-   , 	-   , 	-   ,
2023-2024,9060,Federal," 	3,162,901.79 ", 	-   , 	-   , 	-   ,
2023-2024,9060,State/Local," 	3,491,054.07 ", 	-   , 	-   , 	-   ,
2023-2024,9075,Federal," 	933,838.17 ", 	-   , 	-   , 	-   ,
2023-2024,9075,State/Local," 	2,557,869.88 ", 	-   , 	-   , 	-   ,
2023-2024,9095,Federal," 	1,304,260.25 ", 	-   , 	-   , 	-   ,
2023-2024,9095,State/Local," 	2,894,431.56 ", 	-   , 	-   , 	-   ,
2023-2024,9120,State/Local," 	924,683.13 ", 	-   , 	-   , 	-   ,
2023-2024,9125,Federal," 	460,151.38 ", 	-   , 	-   , 	-   ,
2023-2024,9125,State/Local," 	2,195,865.88 ", 	-   , 	-   , 	-   ,
2023-2024,9130,State/Local," 	4,792,531.31 ", 	379 , 	379 , 	-   ," 	12,645 "
2023-2024,9135,State/Local," 	2,553,238.60 ", 	-   , 	-   , 	-   ,
2023-2024,9140,Federal," 	418,162.27 ", 	-   , 	-   , 	-   ,
2023-2024,9140,State/Local," 	2,473,172.05 ", 	-   , 	-   , 	-   ,
2023-2024,9145,Federal," 	423,996.90 ", 	-   , 	-   , 	-   ,
2023-2024,9145,State/Local," 	1,430,385.65 ", 	-   , 	-   , 	-   ,
2023-2024,9150,Federal," 	1,216,648.45 ", 	-   , 	-   , 	-   ,
2023-2024,9150,State/Local," 	3,451,417.19 ", 	-   , 	-   , 	-   ,
2023-2024,9165,Federal," 	880,759.71 ", 	-   , 	-   , 	-   ,
2023-2024,9165,State/Local," 	2,002,808.02 ", 	-   , 	-   , 	-   ,
2023-2024,9170,Federal," 	778,915.28 "," 	7,114 "," 	7,114 ", 	-   , 	109 
2023-2024,9170,State/Local," 	55,943,247.16 "," 	7,114 "," 	7,114 ", 	-   ," 	7,864 "
2023-2024,9175,Federal," 	2,783,490.28 ", 	165 , 	165 , 	-   ," 	16,870 "
2023-2024,9175,State/Local," 	8,689,883.18 ", 	165 , 	165 , 	-   ," 	52,666 "
2023-2024,1460,State/Local, 	-   , 	117 , 	117 , 	-   , 	-   
2023-2024,2540,State/Local, 	-   , 	355 , 	355 , 	-   , 	-   
2023-2024,2780,State/Local, 	-   , 	341 , 	341 , 	-   , 	-   
2023-2024,9000,State/Local, 	-   , 	160 , 	160 , 	-   , 	-   
