FISCAL_YEAR,ORG_CODE,GRANT_TYPE,AMOUNT,TOTAL_STUDENTS,NON_CHARTER_STUDENTS,CHARTER_STUDENTS,PER_PUPIL
2023-2024,0480,State/Local," 	518,767,105.26 "," 	28,362 "," 	25,970 "," 	2,392 "," 	18,291 "
2023-2024,0490,Federal," 	510,418.71 ", 	987 , 	987 , 	-   , 	517 
2023-2024,0490,State/Local," 	15,157,533.46 ", 	987 , 	987 , 	-   ," 	15,357 "
2023-2024,0500,Federal," 	2,599,470.24 "," 	1,326 "," 	1,326 ", 	-   ," 	1,960 "
2023-2024,0500,State/Local," 	18,230,840.91 "," 	1,326 "," 	1,326 ", 	-   ," 	13,749 "
2023-2024,0510,Federal," 	65,305.43 ", 	107 , 	107 , 	-   , 	610 
2023-2024,0510,State/Local," 	2,781,466.15 ", 	107 , 	107 , 	-   ," 	25,995 "
2023-2024,0520,Federal," 	102,629.11 ", 	170 , 	170 , 	-   , 	604 
2023-2024,0520,State/Local," 	3,957,921.87 ", 	170 , 	170 , 	-   ," 	23,282 "
2023-2024,0540,Federal," 	717,755.19 ", 	652 , 	567 , 	85 ," 	1,101 "
2023-2024,0540,State/Local," 	13,358,325.32 ", 	652 , 	567 , 	85 ," 	20,488 "
2023-2024,0550,Federal," 	1,177,243.79 ", 	955 , 	955 , 	-   ," 	1,233 "
2023-2024,0550,State/Local," 	10,772,983.27 ", 	955 , 	955 , 	-   ," 	11,281 "
2023-2024,0560,Federal," 	335,912.98 ", 	399 , 	399 , 	-   , 	842 
2023-2024,0560,State/Local," 	4,810,352.76 ", 	399 , 	399 , 	-   ," 	12,056 "
2023-2024,0580,Federal," 	673,036.34 ", 	182 , 	182 , 	-   ," 	3,698 "
2023-2024,0580,State/Local," 	4,009,150.26 ", 	182 , 	182 , 	-   ," 	22,028 "
2023-2024,0640,Federal," 	449,841.36 ", 	187 , 	187 , 	-   ," 	2,406 "
2023-2024,0640,State/Local," 	3,771,329.91 ", 	187 , 	187 , 	-   ," 	20,168 "
2023-2024,0740,Federal," 	680,035.73 ", 	302 , 	302 , 	-   ," 	2,252 "
2023-2024,0740,State/Local," 	4,641,454.42 ", 	302 , 	302 , 	-   ," 	15,369 "
2023-2024,0770,Federal," 	1,006,268.84 ", 	347 , 	347 , 	-   ," 	2,900 "
2023-2024,0770,State/Local," 	6,256,510.09 ", 	347 , 	347 , 	-   ," 	18,030 "
2023-2024,0860,Federal," 	380,158.23 ", 	349 , 	349 , 	-   ," 	1,089 "
2023-2024,0860,State/Local," 	5,105,228.37 ", 	349 , 	349 , 	-   ," 	14,628 "
2023-2024,0870,Federal," 	8,374,720.04 "," 	4,614 "," 	4,203 ", 	411 ," 	1,815 "
2023-2024,0870,State/Local," 	57,813,010.02 "," 	4,614 "," 	4,203 ", 	411 ," 	12,530 "
2023-2024,0880,Federal," 	140,498,990.02 "," 	88,258 "," 	68,052 "," 	20,206 "," 	1,592 "
2023-2024,0880,State/Local," 	1,468,910,060.70 "," 	88,258 "," 	68,052 "," 	20,206 "," 	16,643 "
2023-2024,0890,Federal," 	413,695.92 ", 	252 , 	252 , 	-   ," 	1,642 "
2023-2024,0890,State/Local," 	4,770,135.94 ", 	252 , 	252 , 	-   ," 	18,929 "
2023-2024,0900,Federal," 	20,958,627.11 "," 	61,964 "," 	46,342 "," 	15,622 ", 	338 
2023-2024,0900,State/Local," 	945,029,337.67 "," 	61,964 "," 	46,342 "," 	15,622 "," 	15,251 "
2023-2024,0910,Federal," 	5,065,903.40 "," 	6,497 "," 	6,137 ", 	360 , 	780 
2023-2024,0910,State/Local," 	110,370,020.30 "," 	6,497 "," 	6,137 ", 	360 ," 	16,988 "
2023-2024,0920,Federal," 	1,729,548.00 "," 	2,614 "," 	2,098 ", 	516 , 	662 
2023-2024,0920,State/Local," 	32,812,506.34 "," 	2,614 "," 	2,098 ", 	516 ," 	12,553 "
2023-2024,0930,Federal," 	410,993.00 ", 	342 , 	342 , 	-   ," 	1,202 "
2023-2024,0930,State/Local," 	4,799,435.07 ", 	342 , 	342 , 	-   ," 	14,033 "
2023-2024,0940,Federal," 	419,410.91 ", 	328 , 	328 , 	-   ," 	1,279 "
2023-2024,0940,State/Local," 	5,123,713.15 ", 	328 , 	328 , 	-   ," 	15,621 "
2023-2024,0950,Federal," 	266,919.54 ", 	279 , 	279 , 	-   , 	957 
2023-2024,0950,State/Local," 	4,160,843.25 ", 	279 , 	279 , 	-   ," 	14,913 "
2023-2024,0960,Federal," 	175,109.07 ", 	75 , 	75 , 	-   ," 	2,335 "
2023-2024,0960,State/Local," 	1,706,738.32 ", 	75 , 	75 , 	-   ," 	22,757 "
2023-2024,0970,Federal," 	439,198.30 ", 	436 , 	436 , 	-   ," 	1,007 "
2023-2024,0970,State/Local," 	6,412,174.45 ", 	436 , 	436 , 	-   ," 	14,707 "
2023-2024,0980,Federal," 	26,414,217.93 "," 	12,386 "," 	8,252 "," 	4,134 "," 	2,133 "
2023-2024,0980,State/Local," 	154,002,624.46 "," 	12,386 "," 	8,252 "," 	4,134 "," 	12,434 "
2023-2024,0990,Federal," 	6,157,728.27 "," 	9,377 "," 	9,273 ", 	104 , 	657 
2023-2024,0990,State/Local," 	121,528,760.77 "," 	9,377 "," 	9,273 ", 	104 ," 	12,960 "
2023-2024,1000,Federal," 	5,292,410.69 "," 	7,885 "," 	7,885 ", 	-   , 	671 
2023-2024,1000,State/Local," 	113,475,329.33 "," 	7,885 "," 	7,885 ", 	-   ," 	14,391 "
2023-2024,1010,Federal," 	38,872,154.69 "," 	22,744 "," 	21,170 "," 	1,574 "," 	1,709 "
2023-2024,1010,State/Local," 	376,051,681.02 "," 	22,744 "," 	21,170 "," 	1,574 "," 	16,534 "
2023-2024,1020,Federal," 	2,433,538.87 "," 	3,764 "," 	3,764 ", 	-   , 	647 
